Occupation_Title	Occupation_Code		Year	Median Annual Salary	Bottom 10%	Top 10%	Estimated Employment	Projected Growth (2016-2026)	Projected Job Openings (2016-2026)**	Top Industries																		
"Agricultural Sciences Teachers, Postsecondary"	25-1041		2005	"$71,330 "	"$39,100 "	"$113,750 "	"11,460"	14% - 19%	"552,900"																			
			2006	"$75,140 "	"$41,440 "	"$118,180 "	"10,120"																					
			2007	"$78,460 "	"$43,050 "	"$123,140 "	"10,700"																					
			2008	"$74,390 "	"$38,460 "	"$124,650 "	"10,000"																					
			2009	"$77,210 "	"$41,270 "	"$128,170 "	"10,230"																					
			2010	"$78,370 "	"$41,630 "	"$129,360 "	"10,600"																					
			2011	"$79,900 "	"$43,480 "	"$182,280 "	"10,170"	10%-19%	"586,100"																			
			2012	"$80,490 "	"$43,600 "	"$130,270 "	"10,500"																					
			2013	"$83,060 "	"$43,770 "	"$136,270 "	"10,120"	8%-14%	"3,000"																			
			2014	"$86,260 "	"$44,580 "	"$143,090 "	"9,890"																					
			2015	"$90,780 "	"$46,680 "	"$149,960 "	"9,680"	5%-8%	"2,900"																			
			2016	"$91,580 "	"$47,130 "	"$153,250 "	"10,340"																					
			2017	"$86,140 "	"$42,290 "	"$149,260 "	"10,800"	5%-9%	"1,100"	Educational Services																		
																												
"Anthropology and Archaeology Teachers, Postsecondary"	25-1061		2005	"$60,710 "	"$37,750 "	"$105,630 "	"5,320"	14% - 19%	"552,900"																			
			2006	"$62,820 "	"$37,590 "	"$109,330 "	"5,040"																					
			2007	"$64,530 "	"$38,840 "	"$109,510 "	"5,290"																					
			2008	"$67,750 "	"$39,290 "	"$117,700 "	"5,500"																					
			2009	"$69,520 "	"$41,270 "	"$119,070 "	"5,880"																					
			2010	"$73,600 "	"$41,320 "	"$128,690 "	"5,850"																					
			2011	"$81,860 "	"$42,530 "	"$132,160 "	"5,790"	10%-19%	"586,100"																			
			2012	"$76,020 "	"$41,840 "	"$134,180 "	"5,690"																					
			2013	"$75,930 "	"$41,700 "	"$135,430 "	"5,920"	8%-14%	"1,900"																			
			2014	"$74,750 "	"$40,060 "	"$132,000 "	"6,100"																					
			2015	"$77,650 "	"$43,080 "	"$141,370 "	"6,000"	9%-13%	"2,000"																			
			2016	"$81,350 "	"$45,060 "	"$155,500 "	"5,700"																					
			2017	"$81,580 "	"$44,690 "	"$160,390 "	"5,770"	10%-14%	600	Educational Services																		
																												
