State	1st	2nd	3rd	4th	5th
Alabama	252021	252031	252022	259041	151131	
Alaska	259041	252021	252031	252022	172051	
Arizona	259041	252021	252031	151151	151132	
Arkansas	252021	259041	252031	252022	131161	
California	259041	252021	151132	252031	131161	
Colorado	151132	252021	259041	131161	252031	
Connecticut	259041	252021	252031	151132	151151	
Delaware	151132	259041	252021	252031	252022	
District of Columbia	151199	131161	193011	151151	113021	
Florida	252021	259041	252031	151151	151132	
Georgia	252021	259041	151132	252031	252022	
Hawaii	252021	259041	252031	434181	119141	
Idaho	252021	259041	252031	151151	151132	
Illinois	252021	259041	252031	435071	151132	
Indiana	252021	259041	435071	252031	252022	
Iowa	259041	252021	252031	252022	151121	
Kansas	259041	252021	252031	151151	252022	
Kentucky	252021	259041	252031	435071	252022	
Louisiana	252021	259041	252031	252022	435071	
Maine	259041	252031	252021	252022	151132	
Maryland	252021	259041	252031	151121	151133	
Massachusetts	259041	252021	151132	252031	151133	
Michigan	252021	259041	151132	252031	435071	
Minnesota	259041	252021	252031	151132	151121	
Mississippi	252021	259041	252031	435071	252022	
Missouri	252031	252021	259041	151132	151151	
Montana	252021	259041	252031	151151	194093	
Nebraska	259041	252021	252031	151132	151121	
Nevada	252021	259041	435071	252031	252022	
New Hampshire	259041	151132	252021	252031	151151	
New Jersey	259041	151132	252021	252031	252022	
New Mexico	259041	252021	252031	252022	151151	
New York	259041	252021	252031	131161	151132	
North Carolina	252021	259041	151132	151121	252031	
North Dakota	259041	252021	252031	151151	172051	
Ohio	252031	252021	259041	435071	151132	
Oklahoma	252021	259041	252031	252022	435071	
Oregon	259041	151132	252021	252031	435071	
Pennsylvania	252021	252031	259041	151132	131161	
Puerto Rico	536041	532022	532021	454011	452011	
Rhode Island	259041	252031	252021	131161	151132	
South Carolina	252021	259041	252031	435071	252022	
South Dakota	252021	259041	252031	252022	151151	
Tennessee	252021	259041	252031	435071	252022	
Texas	252021	252031	259041	151132	252022	
Utah	259041	252021	151132	252031	151151	
Vermont	259041	252021	252031	131161	435071	
Virginia	151132	252021	259041	151133	252031	
Virgin Islands	536041	532022	532021	454011	452011	
Washington	151132	259041	252021	131161	151151	
West Virginia	252021	252022	259041	252031	151199	
Wisconsin	252021	259041	252031	151132	151121	
Wyoming	259041	252021	252031	252022	172051	
